Unnamed: 0,url,name,address,field1,field2,field3,field4,field5,lat,lon
0,https://datacenters.com/amazon-aws-gru1-sao-paulo,Amazon AWS: GRU1 Sao Paulo,"Avenida Ceci, 1900 - Residencial Tambore, Barueri - State of São Paulo, Brazil",0 colocation products,,,,,-23.498109103703158,-46.81977215383011
2,https://datacenters.com/microsoft-azure-brazil-south-sao-paulo-state,Microsoft Azure: Brazil South-Sao Paulo State,"Rua Santa Teresa, 64 - Centro Histórico de São Paulo, São Paulo - State of São Paulo, Brazil",0 colocation products,5.0 miles to nearest airport,,,,-23.645368046653324,-46.838112933380074
3,https://datacenters.com/equinix-sp4-sao-paulo,Equinix: SP4 Sao Paulo,"Avenida Ceci, 1900 - Residencial Tambore, Barueri - State of São Paulo, Brazil",185677 sqft total space,65700 sqft colocation space,0 colocation products,,,-23.498109103703158,-46.81977215383011
4,https://datacenters.com/equinix-sp2-barueri,Equinix: SP2 Barueri Data Center,"Alameda Araguaia, 3641 - Tamboré, Barueri - State of São Paulo, Brazil",95387 sqft total space,34432 sqft colocation space,12.0 MW total power,0 colocation products,13.7 miles to nearest airport,-23.50264315,-46.82710274269107
5,https://datacenters.com/latitude-sh-sao-paulo-i,Latitude.sh: São Paulo I,"Rua Dr. Eduardo Martinelli, 100 - Vila Mariana, São Paulo - State of São Paulo, Brazil",7000 sqft total space,3500 sqft colocation space,1000.0 MW total power,0 colocation products,,-23.5800165875591,-46.64077003181534
6,https://datacenters.com/equinix-sp1-centro,Equinix: SP1 Centro Data Center,"Rua Doutor Miguel Couto, 58 - Centro, São Paulo - State of São Paulo, Brazil",52743 sqft total space,17695 sqft colocation space,1.0 MW total power,0 colocation products,5.6 miles to nearest airport,-23.52951474806991,-46.346862145560586
7,https://datacenters.com/elea-poa1-porto-alegre,Elea Data Centers: POA1 Porto Alegre Data Center,"Rua Engenheiro Afonso Cavalcanti, 100 - Bela Vista, Porto Alegre - RS, Brazil",0 colocation products,2.87 miles to nearest airport,,,,-30.034832740892647,-51.190740930740574
9,https://datacenters.com/equinix-rj2-del-castilho,Equinix: RJ2 Del Castilho Data Center,"Estrada Adhemar Bebiano, 1380 - Del Castilho, Rio de Janeiro - State of Rio de Janeiro, Brazil",168888 sqft total space,41016 sqft colocation space,9.0 MW total power,0 colocation products,5.6 miles to nearest airport,-22.873750312819148,-43.267123868945994
11,https://datacenters.com/amazon-aws-gig50-tivit,Amazon AWS: GIG50 (TIVIT),"Estrada dos Bandeirantes, 10916 - Jacarepaguá, Rio de Janeiro - State of Rio de Janeiro, Brazil",0 colocation products,,,,,-22.96110540909326,-43.393836926466506
13,https://datacenters.com/amazon-aws-gru4-ascenty-jd-1,Amazon AWS: GRU4 (Ascenty JD-1),"Rua Presbítero Plínio Alves De Souza, Ermida, Jundiaí - São Paulo, Brasil - Jardim Ermida I, Jundiaí - State of São Paulo, Brazil",0 colocation products,,,,,-23.187929097525963,-46.97305326187163
14,https://datacenters.com/equinix-rj1-botafogo,Equinix: RJ1 Botafogo Data Center,"Rua Voluntários da Pátria, 360 - Botafogo, Rio de Janeiro - State of Rio de Janeiro, Brazil",55972 sqft total space,15065 sqft colocation space,1.0 MW total power,0 colocation products,10.6 miles to nearest airport,-22.95474435,-43.19458962590461
16,https://datacenters.com/ascenty-a-digital-realty-company-hortolandia-4,Ascenty: Hortolândia 4 Data Center,"Rua Papa João Paulo II, 4 - Jardim Santa Izabel, Hortolândia - State of São Paulo, Brazil",32291 sqft total space,0 colocation products,,,,-22.89540854282722,-47.177466167779286
18,https://datacenters.com/china-telecom-sp2,China Telecom: SP2 Data Center,"Alameda Araguaia, 3641 - Tamboré, Barueri - SP, 06455-000, Brazil",0 colocation products,13.65 miles to nearest airport,,,,-23.50264315,-46.82710274269107
19,https://datacenters.com/ascenty-a-digital-realty-company-rj1-rio-de-janeiro-rio01,Ascenty: RJ1 Rio de Janeiro RIO01 Data Center,"Avenida Coronel Phidias Távora, 513 - Pavuna, Rio de Janeiro - RJ, 21535-510, Brazil",75000 sqft total space,10.0 MW total power,0 colocation products,,,-22.808158525311917,-43.34022894054106
20,https://datacenters.com/oracle-brazil-east-sa-saopaulo-1,Oracle: Brazil East sa-saopaulo-1,"São Paulo, State of São Paulo, Brazil",0 colocation products,,,,,-23.5506507,-46.6333824
21,https://datacenters.com/scala-sgrutb01,Scala Data Centers: SGRUTB01,"Av. Ceci, 1850 - Tamboré, Barueri - SP, 06460-120, Brazil",169178 sqft total space,21.0 MW total power,0 colocation products,13.47 miles to nearest airport,,-23.496901490629213,-46.8286808214364
23,https://datacenters.com/ibm-sao01-sao-paulo-brazil,"IBM Cloud: SAO01 Sao Paulo, Brazil","Rua Tutóia, 1157 - Vila Mariana, São Paulo - State of São Paulo, Brazil",0 colocation products,,,,,-23.57830968090799,-46.65106056814752
