,Unnamed: 0.1,Unnamed: 0,url,statistics,address,transformed_address,cep
0,0.0,0.0,https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-1/specs/,"['6 MW', '3,493 sq.m.']","Ascenty Data CentersAvenida Roberto Pinto Sobrinho, 350Building 106268-120OsascoBrazil","Ascenty Data Centers Avenida Roberto Pinto Sobrinho, 350 Building 1 06268-120 Osasco Brazil",06268-120
1,1.0,1.0,https://www.datacentermap.com/brazil/sao-paulo/rodovia-anhanguera-bldg-1/specs/,"['14 MW', '10,990 sq.m.', 'Est.  2017']","Ascenty Data CentersRodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)Bldg 113177-435SumaréSão Paulo,Brazil","Ascenty Data Centers Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)Bldg 1 13177-435 SumaréSão Paulo,Brazil",13177-435
2,2.0,2.0,https://www.datacentermap.com/brazil/sao-paulo/r-papa-joao-paulo-ii-4/specs/,"['10 MW', '3,995 sq.m.', 'Est.  2015']","Ascenty Data CentersR. Papa João Paulo II 4Building 113185-252HortolândiaSão Paulo,Brazil","Ascenty Data Centers R. Papa João Paulo II 4 Building 1 13185-252 Hortolândia São Paulo,Brazil",13185-252
3,3.0,3.0,https://www.datacentermap.com/brazil/sao-paulo/rodovia-anhanguera-bldg-2/specs/,"['20 MW', '11,994 sq.m.', 'Est.  2019']","Ascenty Data CentersRodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)Bldg 213177-435SumaréSão Paulo,Brazil","Ascenty Data Centers Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)Bldg 2 13177-435 SumaréSão Paulo,Brazil",13177-435
4,4.0,4.0,https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-3/specs/,"['4 MW', '3,995 sq.m.']","Ascenty Data CentersAvenida Roberto Pinto Sobrinho, 350Building 306268-120OsascoBrazil","Ascenty Data Centers Avenida Roberto Pinto Sobrinho, 350 Building 3 06268-120 Osasco Brazil",06268-120
5,5.0,5.0,https://www.datacentermap.com/brazil/sao-paulo/av-2-50-quadra-g1/specs/,"['27 MW', '20,987 sq.m.']","Ascenty Data CentersAv. 2, 50, Quadra G1, Distrito Industrial Benedito StoraniBldg 213288-162VinhedoSão Paulo,Brazil","Ascenty Data Centers Av. 2, 50, Quadra G1, Distrito Industrial Benedito Storani Bldg 2 13288-162 Vinhedo São Paulo,Brazil",13288-162
6,6.0,6.0,https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-2/specs/,"['14 MW', '8,491 sq.m.']","Ascenty Data CentersAvenida Roberto Pinto Sobrinho, 350Building 206268-120OsascoBrazil","Ascenty Data Centers Avenida Roberto Pinto Sobrinho, 350 Building 2 06268-120 Osasco Brazil",06268-120
7,7.0,7.0,https://www.datacentermap.com/brazil/sao-paulo/r-sebastião-cardoso/specs/,"['13 MW', '7,990 sq.m.']","Ascenty Data CentersR. Sebastião Cardoso 35013140-000PaulíniaSão Paulo,Brazil","Ascenty Data Centers R. Sebastião Cardoso 350 13140-000 Paulínia São Paulo,Brazil",13140-000
8,8.0,8.0,https://www.datacentermap.com/brazil/sao-paulo/rua-papa-joao-paulo-ii-4-building-3/specs/,"['3 MW', '1,997 sq.m.', 'Est.  2019']","Ascenty Data CentersRua Papa João Paulo II, 4Building 313185-252HortolândiaSP,Brazil","Ascenty Data Centers Rua Papa João Paulo II, 4 Building 3 13185-252 Hortolândia SP,Brazil",13185-252
9,9.0,9.0,https://www.datacentermap.com/brazil/sao-paulo/rua-papa-joao-paulo-ii-4-building-2/specs/,"['7 MW', '2,991 sq.m.', 'Est.  2019']","Ascenty Data CentersRua Papa João Paulo II, 4Building 213185-252HortolândiaSP,Brazil","Ascenty Data Centers Rua Papa João Paulo II, 4 Building 2 13185-252 Hortolândia SP,Brazil",13185-252
10,10.0,10.0,https://www.datacentermap.com/brazil/sao-paulo/asap-sp1/specs/,"['2 MW', '400 sq.m.', 'Est.  2022']","ASAP TelecomAv. das Nações Unidas, 22540PV01C04795000São PauloSP,Brazil","ASAP Telecom Av. das Nações Unidas, 22540 PV01 C04795000 São Paulo SP,Brazil",04795000
11,11.0,11.0,https://www.datacentermap.com/brazil/sao-paulo/equinix-sp5x/specs/,"['14.4 MW', '5,087 sq.m.']","EquinixAv. Marcos Penteado de Ulhôa Rodrigues, 88806543-001Santana de ParnaíbaBrazil","Equinix Av. Marcos Penteado de Ulhôa Rodrigues, 888 06543-001 Santana de Parnaíba Brazil",06543-001
12,12.0,12.0,https://www.datacentermap.com/brazil/sao-paulo/equinix-sp3/specs/,"['9,000 sq.m.']","EquinixAv. Marcos Penteado de Ulhôa Rodrigues, 24906543-001Santana do ParnaíbaSP,Brazil","Equinix Av. Marcos Penteado de Ulhôa Rodrigues, 249 06543-001 Santana do Parnaíba SP,Brazil",06543-001
13,13.0,13.0,https://www.datacentermap.com/brazil/sao-paulo/ascenty/specs/,"['6 MW', '4,998 sq.m.']","Ascenty Data CentersAvenida Pierre Simon de Laplace, 121113069-320CampinasSao Paulo,Brazil","Ascenty Data Centers Avenida Pierre Simon de Laplace, 1211 13069-320 Campinas Sao Paulo,Brazil",13069-320
14,14.0,14.0,https://www.datacentermap.com/brazil/sao-paulo/equinix-sp1/specs/,"['1,664 sq.m.', 'Est.  1998']","EquinixRua Doutor Miguel Couto, 58, Centro01008-010São PauloSP,Brazil","Equinix Rua Doutor Miguel Couto, 58, Centro01008-010 São Paulo SP,Brazil",01008-010
15,15.0,15.0,https://www.datacentermap.com/brazil/sao-paulo/equinix-sp4/specs/,"['10,704 sq.m.']","EquinixAv. Ceci, 1900 - Res. Tambore, Tamboré06460-120BarueriSão Paulo,Brazil","Equinix Av. Ceci, 1900 - Res. Tambore, Tamboré06460-120 Barueri São Paulo,Brazil",06460-120
16,16.0,16.0,https://www.datacentermap.com/brazil/sao-paulo/matrix/specs/,"['2 MW', '1,600 sq.m.', 'Est.  2001']","SBA EdgeRua Jose Abrantes, 18604756-010Sao PauloSP,Brazil","SBA Edge Rua Jose Abrantes, 186 04756-010 Sao Paulo SP,Brazil",04756-010
17,17.0,17.0,https://www.datacentermap.com/brazil/sao-paulo/cma/specs/,"['2 MW', '400 sq.m.', 'Est.  1990']","NovvacoreRua Professor Filadelfo de Azevedo 71204508011Sao PauloSao Paulo,Brazil","Novvacore Rua Professor Filadelfo de Azevedo 712 04508011 Sao Paulo Sao Paulo,Brazil",04508011
