,url,address,cep,MW,sq.m,Est,sq.f,latitude,longitude
0,https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-1/specs/,"Ascenty Data Centers Avenida Roberto Pinto Sobrinho, 350 Building 1 06268-120 Osasco Brazil",06268-120,6,"3,493",,,-23.492249205472,-46.778292361078
1,https://www.datacentermap.com/brazil/sao-paulo/rodovia-anhanguera-bldg-1/specs/,"Ascenty Data Centers Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)Bldg 1 13177-435 SumaréSão Paulo,Brazil",13177-435,14,"10,990",2017,,-22.811354297463,-47.212282684952
2,https://www.datacentermap.com/brazil/sao-paulo/r-papa-joao-paulo-ii-4/specs/,"Ascenty Data Centers R. Papa João Paulo II 4 Building 1 13185-252 Hortolândia São Paulo,Brazil",13185-252,10,"3,995",2015,,-22.896033619948,-47.179040874904
3,https://www.datacentermap.com/brazil/sao-paulo/rodovia-anhanguera-bldg-2/specs/,"Ascenty Data Centers Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)Bldg 2 13177-435 SumaréSão Paulo,Brazil",13177-435,20,"11,994",2019,,-22.811354297463,-47.212282684952
4,https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-3/specs/,"Ascenty Data Centers Avenida Roberto Pinto Sobrinho, 350 Building 3 06268-120 Osasco Brazil",06268-120,4,"3,995",,,-23.492249205472,-46.778292361078
5,https://www.datacentermap.com/brazil/sao-paulo/av-2-50-quadra-g1/specs/,"Ascenty Data Centers Av. 2, 50, Quadra G1, Distrito Industrial Benedito Storani Bldg 2 13288-162 Vinhedo São Paulo,Brazil",13288-162,27,"20,987",,,-23.038156080543,-46.984838716213
6,https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-2/specs/,"Ascenty Data Centers Avenida Roberto Pinto Sobrinho, 350 Building 2 06268-120 Osasco Brazil",06268-120,14,"8,491",,,-23.492249205472,-46.778292361078
7,https://www.datacentermap.com/brazil/sao-paulo/r-sebastião-cardoso/specs/,"Ascenty Data Centers R. Sebastião Cardoso 350 13140-000 Paulínia São Paulo,Brazil",13140-000,13,"7,990",,,-22.795499890451,-47.135856153416
8,https://www.datacentermap.com/brazil/sao-paulo/rua-papa-joao-paulo-ii-4-building-3/specs/,"Ascenty Data Centers Rua Papa João Paulo II, 4 Building 3 13185-252 Hortolândia SP,Brazil",13185-252,3,"1,997",2019,,-22.896033619948,-47.179040874904
9,https://www.datacentermap.com/brazil/sao-paulo/rua-papa-joao-paulo-ii-4-building-2/specs/,"Ascenty Data Centers Rua Papa João Paulo II, 4 Building 2 13185-252 Hortolândia SP,Brazil",13185-252,7,"2,991",2019,,-22.896033619948,-47.179040874904
10,https://www.datacentermap.com/brazil/sao-paulo/asap-sp1/specs/,"ASAP Telecom Av. das Nações Unidas, 22540 PV01 C04795000 São Paulo SP,Brazil",04795000,2,400,2022,,-23.67866218727,-46.698943817382
11,https://www.datacentermap.com/brazil/sao-paulo/equinix-sp5x/specs/,"Equinix Av. Marcos Penteado de Ulhôa Rodrigues, 888 06543-001 Santana de Parnaíba Brazil",06543-001,14.4,"5,087",,,-23.4645325,-46.8572668
12,https://www.datacentermap.com/brazil/sao-paulo/equinix-sp3/specs/,"Equinix Av. Marcos Penteado de Ulhôa Rodrigues, 249 06543-001 Santana do Parnaíba SP,Brazil",06543-001,,"9,000",,,-23.4663152,-46.86327827535581
13,https://www.datacentermap.com/brazil/sao-paulo/ascenty/specs/,"Ascenty Data Centers Avenida Pierre Simon de Laplace, 1211 13069-320 Campinas Sao Paulo,Brazil",13069-320,6,"4,998",,,-22.84837340603,-47.153128640332
