Unnamed: 0,url,name,address,field1,field2,field3,field4,field5,lat,lon
7,https://datacenters.com/elea-poa1-porto-alegre,Elea Data Centers: POA1 Porto Alegre Data Center,"Rua Engenheiro Afonso Cavalcanti, 100 - Bela Vista, Porto Alegre - RS, Brazil",0 colocation products,2.87 miles to nearest airport,,,,-30.034832740892647,-51.190740930740574
18,https://datacenters.com/china-telecom-sp2,China Telecom: SP2 Data Center,"Alameda Araguaia, 3641 - Tamboré, Barueri - SP, 06455-000, Brazil",0 colocation products,13.65 miles to nearest airport,,,,-23.50264315,-46.82710274269107
19,https://datacenters.com/ascenty-a-digital-realty-company-rj1-rio-de-janeiro-rio01,Ascenty: RJ1 Rio de Janeiro RIO01 Data Center,"Avenida Coronel Phidias Távora, 513 - Pavuna, Rio de Janeiro - RJ, 21535-510, Brazil",75000 sqft total space,10.0 MW total power,0 colocation products,,,-22.80770425,-43.3399404
21,https://datacenters.com/scala-sgrutb01,Scala Data Centers: SGRUTB01,"Av. Ceci, 1850 - Tamboré, Barueri - SP, 06460-120, Brazil",169178 sqft total space,21.0 MW total power,0 colocation products,13.47 miles to nearest airport,,-23.49791725,-46.82116155
36,https://datacenters.com/hostdime-north-brazil,HostDime: North Brazil Data Center,"Av. São Paulo, 1223 - Estados, João Pessoa - PB, 58030-040, Brazil",20000 sqft total space,0 colocation products,9.82 miles to nearest airport,,,-7.30794103968849,-35.34657104263626
37,https://datacenters.com/china-telecom-ascenty-sao-paulo,China Telecom: Ascenty Sao Paulo Data Center,"Av. Roberto Pinto Sobrinho, 350 - Vila Menck, Osasco - SP, 02675-031, Brazil",0 colocation products,,,,,-23.493522900000002,-46.778517699999995
39,https://datacenters.com/takoda-takoda-rio-de-janeiro-rj1,TAKODA: Takoda Rio de Janeiro - RJ1,"Estr. dos Bandeirantes, 10916 - Jacarepaguá, Rio de Janeiro - RJ, 22783-111, Brasil",9896 sqft total space,9.0 MW total power,0 colocation products,3.92 miles to nearest airport,,-22.971976273721552,-43.414043166617525
40,https://datacenters.com/ascenty-a-digital-realty-company-hortolandia-1,Ascenty: Hortolândia 1 Data Center,"R. Papa João Paulo II, 4 - Jardim Santa Izabel, Hortolândia - SP, 13185-252, Brazil",43000 sqft total space,10.0 MW total power,0 colocation products,,,-22.89467538505268,-47.17531519314723
41,https://datacenters.com/nextstream-cic,NextStream: CIC Data Center,"Rua Senador Accioly Filho, 2200 - Cidade Industrial de Curitiba, Curitiba - PR, 81350-200, Brazil",0 colocation products,9.99 miles to nearest airport,,,,-25.4962621,-49.3288227
43,https://datacenters.com/scala-sgrutb05,Scala Data Centers: SGRUTB05,"Av. Ceci, 1600 - Jardim Mutinga, Barueri - SP, 06460-120, Brazil",72669 sqft total space,6.0 MW total power,0 colocation products,13.48 miles to nearest airport,,-23.49791495631882,-46.82162116063731
44,https://datacenters.com/odata-dc-sp03,ODATA: DC SP03 Data Center,"Alameda Araguacema, 187 - Tamboré, Barueri - SP, 06460-070, Brazil",0 colocation products,13.54 miles to nearest airport,,,,-23.501569240940213,-46.824631020771086
59,https://datacenters.com/scala-spoapa01,Scala Data Centers: SPOAPA01,"Av. Pernambuco, 1124 - Navegantes, Porto Alegre - RS, 90240-001, Brazil",43809 sqft total space,4.0 MW total power,0 colocation products,1.41 miles to nearest airport,,-30.005446930502778,-51.19943155094119
60,https://datacenters.com/scala-sgrutb08,Scala Data Centers: SGRUTB08,"Av. Ceci, 1700 - Tamboré, Barueri - SP, 06460-120, Brazil",189251 sqft total space,189251 sqft colocation space,24.0 MW total power,0 colocation products,13.27 miles to nearest airport,-23.49791725,-46.82116155
68,https://datacenters.com/scala-sgrutb03,Scala Data Centers: SGRUTB03,"Av. Ceci, 1750 - Tamboré, Barueri - SP, 06460-120, Brazil",81763 sqft total space,9.0 MW total power,0 colocation products,13.5 miles to nearest airport,,-23.49791725,-46.82116155
75,https://datacenters.com/takoda-takoda-sao-paulo-sp2,TAKODA: Takoda Sao Paulo - SP2,"Av. Maria Coelho Aguiar, 215 - Jardim São Luís, São Paulo - SP, 05805-000, Brasil",1.0 MW total power,0 colocation products,4.73 miles to nearest airport,,,-23.655383383916906,-46.73580844039931
77,https://datacenters.com/zenlayer-gig1-rio-de-janeiro,Zenlayer: GIG1 Rio De Janeiro Data Center,"Estrada Adhemar Bebiano - Del Castilho, Rio de Janeiro - RJ, 21051-070, Brazil",0 colocation products,4.4 miles to nearest airport,,,,-22.878044694902318,-43.264565559295704
79,https://datacenters.com/digital-realty-sao-paulo-sp01,Digital Realty: São Paulo SP01 Data Center,"Avenida Roberto Pinto Sobrinho, 350 - Vila Menck, Osasco - SP, 06268-120, Brazil",43000 sqft total space,6.0 MW total power,0 colocation products,,,-23.49349295,-46.778577150000004
82,https://datacenters.com/edgeuno-for1-fortaleza,Edgeuno: FOR1 Fortaleza Data Center,"Avenida Trajano de Medeiros, 1851 - Vicente Pinzon, Fortaleza - Ceará, Brazil",0 colocation products,6.18 miles to nearest airport,,,,-3.735326,-38.4618152
85,https://datacenters.com/digital-realty-sao-paulo-jdi02,Digital Realty: São Paulo JDI02 Data Center,"Rua Presbítero Plinio Alves de Souza, 757 - Jardim Ermida I, Jundiaí - SP, 13212-181, Brazil",97000 sqft total space,14.0 MW total power,0 colocation products,,,-23.187929097525963,-46.97305326187163
86,https://datacenters.com/edgeuno-poa1-porto-alegre,Edgeuno: POA1 Porto Alegre Data Center,"Rua General Câmara, 156 - Centro Histórico, Porto Alegre - RS, 90010-230, Brazil",0 colocation products,3.97 miles to nearest airport,,,,-30.03020525,-51.2299755
88,https://datacenters.com/ascenty-a-digital-realty-company-fortaleza,Ascenty: Fortaleza Data Center,"Rua Quatorze, 1161, Fortaleza - CE, 61921-430, Brazil",97000 sqft total space,10.0 MW total power,0 colocation products,,,-3.7131470386434113,-38.5991351194848
90,https://datacenters.com/digital-realty-sao-paulo-sp02,Digital Realty: São Paulo SP02 Data Center,"Avenida Roberto Pinto Sobrinho, 350 - Vila Menck, Osasco - SP, 06268-120, Brazil",97000 sqft total space,14.0 MW total power,0 colocation products,,,-23.49349295,-46.778577150000004
97,https://datacenters.com/digital-realty-sao-paulo-jdi01,Digital Realty: São Paulo JDI01 Data Center,"Rua Presbítero Plinio Alves de Souza, 757 - Jardim Ermida I, Jundiaí - SP, 13212-181, Brazil",75000 sqft total space,15.0 MW total power,0 colocation products,,,-23.187929097525963,-46.97305326187163
99,https://datacenters.com/nextstream-lince,NextStream: Lince Data Center,"Rua Senador Accioly Filho, 2200 - Cidade Industrial de Curitiba, Curitiba - PR, 81350-200, Brazil",0 colocation products,9.99 miles to nearest airport,,,,-25.4962621,-49.3288227
101,https://datacenters.com/scala-sgrutb04,Scala Data Centers: SGRUTB04,"Av. Ceci, 1650 - Tamboré, Barueri - São Paulo, 06460-120, Brazil",137222 sqft total space,12.0 MW total power,0 colocation products,13.5 miles to nearest airport,,-23.496901490629213,-46.8286808214364
104,https://datacenters.com/digital-realty-fortaleza-ftz01,Digital Realty: Fortaleza FTZ01 Data Center,"Rua Quatorze, 1161, Fortaleza - CE, 61921-430, Brazil",97000 sqft total space,10.0 MW total power,0 colocation products,,,-3.7131470386434113,-38.5991351194848
