,url,name,address,provider,MW_total_power,miles_to_nearest_airport,sqft_colocation_space,sqft_total_space,number,street,municipality,state,latitude,longitude
1,https://datacenters.com/equinix-dc2-ashburn,Equinix: DC2 Ashburn Data Center,"21715 Filigree Court, Ashburn, VA, USA",Equinix,4.9,4.35,118447.0,147600.0,21715,Filigree Court,Ashburn,VA,39.0163313,-77.45876232933266
2,https://datacenters.com/google-mayes-county-ok,"Google: Mayes County, OK Data Center",4111 North East 1st Street,Google,,34.8,,1400000.0,4111,North East 1st Street,,,34.16316830266114,-97.42482656719649
3,https://datacenters.com/equinix-ny4-secaucus,Equinix: NY4 Secaucus Data Center,"755 Secaucus Road, Secaucus, NJ, USA",Equinix,18.5,7.46,151772.0,338967.0,755,Secaucus Road,Secaucus,NJ,40.77642805000001,-74.06977591147162
4,https://datacenters.com/microsoft-azure-des-moines,Microsoft Azure: Des Moines Data Center,"550 White Crane Rd, West Des Moines, IA 50265, USA",Microsoft Azure,,2.49,,408000.0,550,White Crane Rd,West Des Moines,IA,41.51497801102546,-93.71009936181576
6,https://datacenters.com/microsoft-azure-east-us-2-virginia,Microsoft Azure: East US 2 - Virginia,"Boydton, VA, USA",Microsoft Azure,,174.61,,,,Boydton,VA,,36.6673066,-78.3882002
7,https://datacenters.com/qts-richmond,QTS Data Centers: Richmond Data Center,"6000 Technology Boulevard, Sandston, VA, USA",QTS Data Centers,105.0,4.29,600000.0,1300000.0,6000,Technology Boulevard,Sandston,VA,37.4888273,-77.24748997136237
9,https://datacenters.com/google-midlothian-tx,"Google: Midlothian, TX Data Center","3800 Railport Pkwy, Midlothian, TX, USA",Google,,31.07,,800000.0,3800,Railport Pkwy,Midlothian,TX,32.44324265,-97.04880499999999
10,https://datacenters.com/microsoft-azure-south-central-us-texas,Microsoft Azure: South Central US-Texas,"5150 Rogers Rd, San Antonio, TX, USA",Microsoft Azure,,13.68,,470000.0,5150,Rogers Rd,San Antonio,TX,29.4798727,-98.69275447677299
11,https://datacenters.com/equinix-mi1-miami,Equinix: MI1 Miami Data Center,"50 Northeast 9th Street, Miami, FL, USA",Equinix,17.45,5.6,255512.0,658528.0,50,Northeast 9th Street,Miami,FL,25.7825762,-80.1927703
12,https://datacenters.com/microsoft-azure-north-central-us-illinois,Microsoft Azure: North Central US-Illinois,"601 Northwest Avenue, Northlake, IL, USA",Microsoft Azure,,15.5,,700000.0,601,Northwest Avenue,Northlake,IL,41.92310615,-87.91826328939885
