,url,name,address,field1,field2,field3,field4,field5
0,https://datacenters.com/microsoft-azure-east-us-virginia,Microsoft Azure: East US-Virginia,"101 Herbert Drive, Boydton, VA, USA",1100000 sqft total space,0 colocation products,175.23 miles to nearest airport,,
1,https://datacenters.com/equinix-dc2-ashburn,Equinix: DC2 Ashburn Data Center,"21715 Filigree Court, Ashburn, VA, USA",147600 sqft total space,118447 sqft colocation space,4.9 MW total power,0 colocation products,4.35 miles to nearest airport
2,https://datacenters.com/google-mayes-county-ok,"Google: Mayes County, OK Data Center",4111 North East 1st Street,1400000 sqft total space,0 colocation products,34.8 miles to nearest airport,,
3,https://datacenters.com/equinix-ny4-secaucus,Equinix: NY4 Secaucus Data Center,"755 Secaucus Road, Secaucus, NJ, USA",338967 sqft total space,151772 sqft colocation space,18.5 MW total power,0 colocation products,7.46 miles to nearest airport
4,https://datacenters.com/microsoft-azure-des-moines,Microsoft Azure: Des Moines Data Center,"550 White Crane Rd, West Des Moines, IA 50265, USA",408000 sqft total space,0 colocation products,2.49 miles to nearest airport,,
5,https://datacenters.com/microsoft-azure-west-us-2-washington,Microsoft Azure: West US 2-Washington,"1515 Port Industrial Way, Quincy, WA, USA",800000 sqft total space,0 colocation products,114.34 miles to nearest airport,,
6,https://datacenters.com/microsoft-azure-east-us-2-virginia,Microsoft Azure: East US 2 - Virginia,"Boydton, VA, USA",0 colocation products,174.61 miles to nearest airport,,,
7,https://datacenters.com/qts-richmond,QTS Data Centers: Richmond Data Center,"6000 Technology Boulevard, Sandston, VA, USA",1300000 sqft total space,600000 sqft colocation space,105 MW total power,0 colocation products,4.29 miles to nearest airport
8,https://datacenters.com/amazon-aws-pdx4-boardman-or,"Amazon AWS: PDX4 Boardman, OR","79539 Rippee Road, Boardman, OR 97818, USA",0 colocation products,167.77 miles to nearest airport,,,
9,https://datacenters.com/google-midlothian-tx,"Google: Midlothian, TX Data Center","3800 Railport Pkwy, Midlothian, TX, USA",800000 sqft total space,0 colocation products,31.07 miles to nearest airport,,
10,https://datacenters.com/microsoft-azure-south-central-us-texas,Microsoft Azure: South Central US-Texas,"5150 Rogers Rd, San Antonio, TX, USA",470000 sqft total space,0 colocation products,13.68 miles to nearest airport,,
11,https://datacenters.com/equinix-mi1-miami,Equinix: MI1 Miami Data Center,"50 Northeast 9th Street, Miami, FL, USA",658528 sqft total space,255512 sqft colocation space,17.45 MW total power,0 colocation products,5.6 miles to nearest airport
12,https://datacenters.com/microsoft-azure-north-central-us-illinois,Microsoft Azure: North Central US-Illinois,"601 Northwest Avenue, Northlake, IL, USA",700000 sqft total space,0 colocation products,15.5 miles to nearest airport,,
13,https://datacenters.com/apple-inc-maiden,Apple Inc.: Maiden Data Center,"5977 Startown Road, Newton, NC, USA",500000 sqft total space,184000 sqft colocation space,0 colocation products,30.45 miles to nearest airport,
14,https://datacenters.com/switch-switch-core-campus,Switch Data Centers: Switch Data Centers: CORE Campus,"Switch LAS VEGAS - The Core Campus, 7135 South Decatur Boulevard, Las Vegas, NV, USA",471248 sqft total space,0 colocation products,3.73 miles to nearest airport,,
15,https://datacenters.com/switch-switch-citadel-campus,Switch Data Centers: Switch Data Centers: CITADEL Campus,"Switch TAHOE RENO - The Citadel Campus, Superloop Circle, Sparks, NV, USA",0 colocation products,3.73 miles to nearest airport,,,
16,https://datacenters.com/google-montgomery-county-tn,"Google: Montgomery County, TN Data Center","1000 Boolean Dr, Clarksville, TN 37040, USA",0 colocation products,260.98 miles to nearest airport,,,
17,https://datacenters.com/google-the-dalles-or,"Google: The Dalles, OR Data Center","4200 Columbia Rd, The Dalles, OR 97058, USA",1300000 sqft total space,800000 sqft colocation space,0 colocation products,136.09 miles to nearest airport,
18,https://datacenters.com/switch-switch-keep,Switch Data Centers: Switch Data Centers: Keep Data Center,"1 Switch Way, Lithia Springs, GA, USA",1000000 sqft total space,110 MW total power,0 colocation products,11.81 miles to nearest airport,
19,https://datacenters.com/facebook-newton-atlanta,"Meta, Inc.: Newton (Atlanta) Data Center","240 Shire Parkway, Social Circle, GA, USA",970000 sqft total space,0 colocation products,41.64 miles to nearest airport,,
20,https://datacenters.com/oracle-us-east-us-ashburn-1,Oracle: US East us-ashburn-1,"Ashburn, VA, USA",0 colocation products,6.84 miles to nearest airport,,,
21,https://datacenters.com/equinix-ny5-secaucus,Equinix: NY5 Secaucus Data Center,"800 Secaucus Road, Secaucus, NJ, USA",275322 sqft total space,108005 sqft colocation space,10 MW total power,0 colocation products,7.46 miles to nearest airport
22,https://datacenters.com/equinix-ch3-elk-grove,Equinix: CH3 Elk Grove Data Center,"1905 Lunt Avenue, Elk Grove Village, IL, USA",379662 sqft total space,133987 sqft colocation space,10.8 MW total power,0 colocation products,2.49 miles to nearest airport
23,https://datacenters.com/qts-phoenix,QTS Data Centers: Phoenix Data Center,"1200 North 40th Street, Phoenix, Arizona 85008, USA",108000 sqft total space,108000 sqft colocation space,0 colocation products,1.25 miles to nearest airport,
24,https://datacenters.com/apple-inc-waukee-ia,Apple Inc.: Waukee IA Data Center,"2995 W Hickman Rd, Waukee, IA, USA",398473 sqft total space,0 colocation products,14.3 miles to nearest airport,,
25,https://datacenters.com/facebook-huntsville,"Meta, Inc.: Huntsville Data Center","5400 Prosperity Dr NW, Toney, AL, USA",970000 sqft total space,0 colocation products,151 miles to nearest airport,,
26,https://datacenters.com/amazon-aws-iad23-ashburn,Amazon AWS: IAD23 Ashburn,"43830 Devin Shafron Dr, Ashburn, VA 20147, USA",0 colocation products,4.35 miles to nearest airport,,,
27,https://datacenters.com/apple-inc-mesa,Apple Inc.: Mesa Data Center,"3740 South Signal Butte Road, Mesa, AZ, USA",1300000 sqft total space,0 colocation products,23 miles to nearest airport,,
28,https://datacenters.com/facebook-los-lunas,"Meta, Inc.: Los Lunas Data Center","4250 Messenger Loop, Los Lunas, NM, USA",400000 sqft total space,0 colocation products,17.4 miles to nearest airport,,
29,https://datacenters.com/google-papillion-ne,"Google: Papillion, NE Data Center","14706 Schram Road, Papillion, NE 68138, USA",0 colocation products,16.78 miles to nearest airport,,,
30,https://datacenters.com/equinix-ny2-secaucus,Equinix: NY2 Secaucus Data Center,"275 Hartz Way, Secaucus, NJ, USA",183900 sqft total space,131037 sqft colocation space,6.8 MW total power,0 colocation products,7.46 miles to nearest airport
31,https://datacenters.com/google-douglas-county-ga,"Google: Douglas County, GA Data Center","300 Riverside Parkway, Lithia Springs, GA, USA",1300000 sqft total space,0 colocation products,11.8 miles to nearest airport,,
32,https://datacenters.com/amazon-aws-port-of-morrow-3,Amazon AWS: Port of Morrow 3,"73200 Lewis and Clark Drive, Boardman, OR, USA",0 colocation products,168.4 miles to nearest airport,,,
33,https://datacenters.com/google-henderson-nv,"Google: Henderson, NV Data Center","Google 560 W Warm Springs Rd, West Warm Springs Road, Henderson, NV 89011, USA",75000 sqft total space,0 colocation products,8.08 miles to nearest airport,,
34,https://datacenters.com/amazon-aws-13600-eds-drive,Amazon AWS: 13600 EDS Drive,"13600 EDS Drive, Herndon, VA, USA",0 colocation products,1.87 miles to nearest airport,,,
35,https://datacenters.com/apple-inc-prineville,Apple Inc.: Prineville Data Center,"1600 SW Baldwin Rd, Prineville, OR 97754, USA",3200000 sqft total space,0 colocation products,229.29 miles to nearest airport,,
36,https://datacenters.com/google-new-albany-oh,"Google: New Albany, OH Data Center","1101 Beech Rd SW, New Albany, OH, USA",275000 sqft total space,0 colocation products,7.46 miles to nearest airport,,
